"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\CS-Coursework.csproj", "XML", 0, 30, 0, 0, 30
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Game1.cs", "C#", 49, 0, 1, 15, 65
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\GameObject.cs", "C#", 8, 0, 0, 5, 13
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Gamestate.cs", "C#", 29, 0, 0, 4, 33
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\GamestateManager.cs", "C#", 25, 0, 0, 3, 28
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Engine\Program.cs", "C#", 2, 0, 0, 0, 2
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\BoundingBox.cs", "C#", 20, 0, 0, 5, 25
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayGrid.cs", "C#", 20, 0, 3, 9, 32
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\GameplayObjectManager.cs", "C#", 26, 0, 5, 9, 40
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\Gameplay\LevelGameplay.cs", "C#", 61, 0, 5, 19, 85
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelBrowser.cs", "C#", 70, 0, 0, 18, 88
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\Grid.cs", "C#", 43, 0, 7, 12, 62
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelEditor.cs", "C#", 64, 0, 7, 19, 90
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\LevelObjectManager.cs", "C#", 48, 0, 9, 10, 67
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\LevelEditor\ObjectSelector.cs", "C#", 35, 0, 4, 10, 49
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Gamestates\MainMenu.cs", "C#", 50, 0, 3, 16, 69
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Button.cs", "C#", 49, 0, 5, 9, 63
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\ButtonBar.cs", "C#", 35, 0, 4, 9, 48
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\CellLabel.cs", "C#", 17, 0, 0, 6, 23
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\Highlighter.cs", "C#", 17, 0, 0, 6, 23
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\BasicSurface.cs", "C#", 5, 0, 0, 3, 8
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\LevelObjects\LevelObject.cs", "C#", 35, 0, 1, 9, 45
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Objects\PlayerCharacter.cs", "C#", 108, 0, 14, 17, 139
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Testing\TestGameObject.cs", "C#", 24, 0, 0, 3, 27
"d:\Dev\Monogame\CS coursework\CS-Coursework\CS-Coursework\Testing\TestGamestate.cs", "C#", 27, 0, 0, 2, 29
"Total", "-", 867, 30, 68, 218, 1183
